uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
113201,0,0,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0.1111111111111111,0,0,0,0.05555555555555555,0
113345,0,0,0,0.3333333333333333,0,0.1111111111111111,0.1111111111111111,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.1111111111111111,0
114103,0.5714285714285714,0,0,0,0.047619047619047616,0,0,0.047619047619047616,0.047619047619047616,0,0,0,0.09523809523809523,0,0,0.047619047619047616,0.14285714285714285,0,0,0
115331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115764,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116431,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
117184,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
117652,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117830,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117967,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
118011,0.3333333333333333,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118200,0.2,0,0.2,0.1,0,0,0,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0,0
118389,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119013,0,0,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
119201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120436,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
120611,0,0,0,0.037037037037037035,0.2222222222222222,0.07407407407407407,0,0,0.2222222222222222,0.2962962962962963,0,0.037037037037037035,0,0,0.07407407407407407,0.037037037037037035,0,0,0,0
120826,0,0,0.2857142857142857,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121556,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0
121604,0,0,0.25,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0
121633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121716,0,0,0,0,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
121729,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121733,0,0.14285714285714285,0,0,0.14285714285714285,0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
