uid,Label,total_count
231366,NE3,9
231366,W1,27
231366,W2,30
231366,W3,1
231475,CBD,1
231716,C6,1
231737,C5,1
232016,C4,1
232016,C5,1
232016,C6,4
232320,C5,1
233022,C1,1
233022,CBD,1
233537,C7,1
233537,E2,1
234324,C1,9
234324,C2,11
234324,C3,23
234324,C4,53
234324,C5,13
234324,C6,7
234324,C7,10
234324,C8,5
234324,CBD,23
234324,E1,1
234324,E3,1
234324,E4,1
234324,NE1,3
234324,W1,12
234324,W2,16
234324,W3,1
234327,C4,1
234707,C1,2
234707,C4,1
234707,C5,1
234707,C6,2
234707,C7,2
234707,C8,1
234707,CBD,2
234707,E3,2
234707,NE3,2
234707,W2,1
235476,C5,1
235476,C6,1
235476,C8,2
235517,C6,2
235517,CBD,1
235700,C6,1
235700,NE1,1
235906,NE3,1
236279,C6,1
236564,C1,1
236564,E2,2
238850,CBD,1
239055,CBD,1
239055,W2,1
239481,C8,1
239481,N1,1
239570,C2,1
239570,C6,2
239570,CBD,1
239570,E1,2
239570,E3,1
239570,NE2,1
239903,C1,5
239903,E4,1
239927,C2,2
239927,C5,1
239927,C6,1
239986,C5,1
239986,C6,1
239986,CBD,2
239986,E4,2
240112,C2,5
240112,C3,2
240112,C4,3
240112,C5,1
240112,C8,1
240112,NE3,1
240112,W2,1
240116,C1,7
240116,C2,3
240116,C5,1
240116,C6,3
240116,C7,2
240116,C8,5
240116,CBD,3
240116,E1,1
240116,E3,4
240116,NE1,1
240116,NE2,19
240116,NE3,3
240328,C4,1
240347,C5,1
240378,NE3,2
240476,C6,1
240476,C7,1
240476,CBD,1
240900,C6,1
240900,E4,2
241234,C8,4
241442,C1,1
241442,C7,3
241442,C8,1
241442,NE1,2
241443,C5,1
241443,CBD,1
242899,C5,1
242899,C8,1
243319,NE2,1
244481,W2,1
244674,C8,1
244913,C6,1
245111,C8,1
245250,CBD,2
245336,C5,1
245336,CBD,1
245364,E3,1
245364,E4,1
246118,E3,1
246123,CBD,1
246123,NE2,1
246142,C2,1
246195,C1,1
246195,C3,1
246195,NE1,2
246195,NE2,1
246215,C6,1
246215,E4,1
246215,NE2,1
246322,CBD,1
246506,C4,1
246511,C8,1
246543,C3,4
246543,C5,1
246543,C6,3
246668,NE1,2
246893,NE2,3
246966,C5,1
246966,C6,2
246999,E1,1
247038,CBD,1
247068,CBD,1
247225,NE3,1
247366,NE1,2
247534,C4,1
247565,C1,1
247649,C5,1
247649,C6,1
247649,C8,2
247649,CBD,9
247649,E2,1
248020,C1,2
248020,C5,1
249738,C8,1
249738,CBD,2
250014,C6,2
250024,C7,1
250024,CBD,2
250024,E4,1
250052,C6,2
250137,NE1,2
250576,E1,1
250752,C2,1
250790,C5,1
250790,C8,1
250790,E1,1
250790,E3,2
250874,C6,1
250874,CBD,1
251001,C5,1
251001,CBD,1
251006,C6,1
251006,C8,1
251016,C4,1
251016,CBD,1
251135,C1,4
251135,C2,1
251135,C4,1
251135,C5,2
251144,C5,1
251144,C8,1
251144,NE3,2
251240,C7,1
251240,CBD,1
251257,C8,2
251257,CBD,2
251795,CBD,1
251795,E2,1
251795,E3,1
251836,E3,1
251850,CBD,3
251922,E3,1
252658,C8,1
252716,C6,1
252716,CBD,1
252959,C7,1
252964,C4,1
252964,C5,1
252964,C7,1
252964,C8,1
252964,CBD,1
253310,C6,1
253786,C7,1
253786,CBD,1
253857,C6,1
253870,C6,1
254013,NE2,1
254013,W2,2
254302,C5,3
254302,C7,1
254627,C4,2
254627,C5,1
254627,C6,1
254627,C7,1
254627,CBD,1
257370,NE3,1
257450,E4,2
257529,CBD,6
257672,NE2,1
257705,C8,1
257796,C1,3
257796,C5,1
257835,C5,1
258159,C1,1
258159,C7,1
258159,W1,1
258433,C5,1
258711,NE1,2
259172,C1,1
259172,E2,1
259462,C3,1
259462,C5,3
259462,C6,2
259462,CBD,2
259659,C1,2
259659,C3,2
259669,CBD,1
259841,C5,1
260068,C5,2
260068,C6,1
260570,C2,1
261779,C1,5
261779,C2,4
261779,C3,3
261779,C4,9
261779,C5,11
261779,C6,33
261779,C7,2
261779,C8,8
261779,CBD,43
261779,E1,1
